t_id,c_id,Bank,Card_Type,Transaction_Time,Transaction_Amount_INR,Merchant_Category,Transaction_City,Device_Type,Is_International,Is_Fraud
T20001,C1187,SBI,RuPay,24-08-2025 19:24,126765.66,Travel,International,Mobile,1,1
T20002,C1282,Bank of Baroda,Visa,04-03-2025 14:03,20937.7,ATM Withdrawal,Indore,Mobile,0,0
T20003,C1499,Axis,Visa,12-06-2025 13:24,28876.29,Entertainment,Mumbai,POS,0,0
T20004,C1157,ICICI,Visa,30-07-2025 21:18,7255.54,ATM Withdrawal,Indore,POS,0,0
T20005,C1030,Axis,MasterCard,29-09-2025 04:08,27409.84,Food Delivery,Bangalore,ATM,0,0
T20006,C1153,Axis,Visa,17-08-2025 18:08,29298.82,Ride Sharing,Surat,POS,0,0
T20007,C1373,Canara Bank,MasterCard,01-03-2025 14:32,26283.57,ATM Withdrawal,Lucknow,Mobile,0,0
T20008,C1077,Canara Bank,MasterCard,27-03-2025 23:21,20935.23,Grocery,Visakhapatnam,Mobile,0,0
T20009,C1254,Canara Bank,Visa,11-02-2026 09:05,17039.11,Electronics,Patna,Desktop,0,0
T20010,C1331,Canara Bank,MasterCard,12-12-2025 05:29,3080.44,Ride Sharing,Delhi,ATM,0,0
T20011,C1086,HDFC,MasterCard,02-05-2026 21:34,1177.02,Grocery,Bhubaneswar,POS,0,0
T20012,C1469,Canara Bank,Visa,29-07-2025 07:15,36931.25,Restaurant,Chennai,ATM,0,0
T20013,C1442,Kotak,RuPay,20-10-2025 11:15,44175.02,Online Shopping,Jaipur,Desktop,0,0
T20014,C1090,ICICI,Visa,13-05-2026 03:28,47888.67,Food Delivery,Chandigarh,POS,0,0
T20015,C1144,SBI,Visa,09-01-2025 18:50,41563.12,Online Shopping,Nagpur,Desktop,0,0
T20016,C1263,SBI,MasterCard,21-03-2026 01:15,47657.24,Food Delivery,Patna,ATM,0,0
T20017,C1205,SBI,Visa,17-10-2025 20:47,19736.29,Electronics,Chandigarh,POS,0,0
T20018,C1052,SBI,RuPay,17-11-2025 20:31,5540.92,Restaurant,Hyderabad,Mobile,0,0
T20019,C1192,ICICI,RuPay,22-09-2025 18:33,3562.26,Fuel,Kolkata,Desktop,0,0
T20020,C1249,Canara Bank,MasterCard,15-03-2026 13:36,23733.87,Pharmacy,Bhubaneswar,Desktop,0,0
T20021,C1135,Canara Bank,RuPay,04-03-2025 12:57,5154.27,Restaurant,Chennai,Mobile,0,0
T20022,C1468,SBI,RuPay,30-05-2025 10:24,18119.54,Fuel,Visakhapatnam,Mobile,0,0
T20023,C1182,Axis,RuPay,22-05-2026 22:56,25943.92,Entertainment,Jaipur,Desktop,0,0
T20024,C1388,Axis,Visa,09-04-2026 10:38,30680.75,Online Shopping,Ahmedabad,POS,0,0
T20025,C1014,Kotak,MasterCard,26-05-2025 13:50,24664.45,Fuel,Visakhapatnam,POS,0,0
T20026,C1178,PNB,Visa,20-05-2026 06:42,22389.02,Travel,Bhubaneswar,Mobile,0,0
T20027,C1319,SBI,MasterCard,15-06-2025 04:26,9875.47,Food Delivery,Nagpur,Desktop,0,0
T20028,C1198,Axis,MasterCard,14-04-2026 07:34,41740.71,Restaurant,Delhi,ATM,0,0
T20029,C1369,Bank of Baroda,MasterCard,09-04-2026 00:09,4383.16,Online Shopping,Patna,Mobile,0,0
T20030,C1077,Canara Bank,RuPay,12-06-2026 18:47,8541.68,Restaurant,Hyderabad,ATM,0,0
T20031,C1010,SBI,RuPay,24-04-2026 14:36,7837.83,Food Delivery,Bhubaneswar,Mobile,0,0
T20032,C1422,Axis,Visa,19-01-2026 10:41,21718.78,Fuel,Chennai,POS,0,0
T20033,C1132,Bank of Baroda,Visa,02-08-2025 07:58,12064.94,Grocery,Visakhapatnam,Desktop,0,0
T20034,C1256,ICICI,RuPay,30-11-2025 14:57,21060.38,Restaurant,Visakhapatnam,Mobile,0,0
T20035,C1076,ICICI,Visa,17-11-2025 11:45,30447.3,Pharmacy,Hyderabad,Mobile,0,0
T20036,C1284,Canara Bank,Visa,10-02-2026 05:07,16332.81,Entertainment,Mumbai,Mobile,0,0
T20037,C1259,Canara Bank,RuPay,30-06-2025 22:46,13882.01,Grocery,Pune,Mobile,0,0
T20038,C1262,Axis,RuPay,19-11-2025 18:20,30645.77,Fuel,Patna,ATM,0,0
T20039,C1267,Kotak,RuPay,06-01-2026 00:41,25412.21,Travel,Nagpur,ATM,0,0
T20040,C1037,Axis,MasterCard,10-04-2025 20:36,6125.02,Electronics,Indore,POS,0,0
